Id,SalePrice
1461,120827.34215090144
1462,151525.04745617136
1463,175893.13713911688
1464,202336.0498761607
1465,199843.72078524763
1466,184413.45893100253
1467,200982.84259550157
1468,172479.44601142406
1469,210957.39992079162
1470,114477.44386979518
1471,207251.79683274496
1472,104933.90119129117
1473,81847.31205539615
1474,152863.37659998098
1475,118686.57715934585
1476,316395.668147946
1477,243169.9979497348
1478,277260.8046864369
1479,267491.9544823689
1480,381221.5412683266
1481,293327.5315652448
1482,213666.291788548
1483,179153.07364022592
1484,176149.25125611713
1485,198092.59449605364
1486,211563.9446966746
1487,288151.690371722
1488,255823.71478634397
1489,187572.94995973818
1490,233854.31905300776
1491,210510.2513916057
1492,91864.45244767959
1493,206059.51759843086
1494,276394.16223445744
1495,278373.47468670295
1496,225288.21260022093
1497,173323.95993173495
1498,153751.62331415946
1499,163219.28386377473
1500,147467.8633092267
1501,167720.17197232856
1502,146213.62282456202
1503,280038.5460426153
1504,251120.07491213642
1505,228612.73155524512
1506,205460.71050433093
1507,255985.93786900654
1508,210008.4949766982
1509,157237.7504530258
1510,142328.72032143082
1511,148628.28136813454
1512,185539.07695642812
1513,169104.12008290924
1514,148497.96392740868
1515,217319.94424851984
1516,164733.57520957384
1517,170955.92659479007
1518,127336.56013341411
1519,234430.84456701833
1520,125540.82070031227
1521,123242.76723262272
1522,192342.25321176718
1523,85658.93712615687
1524,114137.05507687083
1525,104897.32081050635
1526,92568.01858528168
1527,88564.09763831832
1528,156224.44861447066
1529,129589.73393567023
1530,233440.6192921647
1531,128090.52151893033
1532,101758.92267659609
1533,148730.89634555997
1534,131054.94137013587
1535,157822.77755271527
1536,103421.67807780346
1537,28654.4678458008
1538,187743.69663389446
1539,225180.16496165562
1540,106775.75286512822
1541,155255.93360493495
1542,143794.38907185686
1543,201945.9774879068
1544,74730.19302986213
1545,134687.58975654305
1546,135942.19941151794
1547,135665.61042281962
1548,142493.46908030123
1549,122274.76626418391
1550,126663.48982207337
1551,135206.16327978787
1552,133163.2485254591
1553,152269.60136739863
1554,127832.95537775848
1555,169697.39500856772
1556,79908.59977197205
1557,84213.68752146908
1558,94683.50446471618
